Designator,Manufacturer Part,Quantity,Comment,Footprint,Value,Manufacturer,Supplier Part,Supplier,
"BTN, RST",TS24CA,2,TS24CA,SW-SMD_TS24CA,,SHOU HAN(首韩),C393942,LCSC,
C1,TAJA106K016RNJ,1,10uF,CAP-SMD_L3.2-W1.6-RD-C7171,10uF,Kyocera AVX,C7171,LCSC,
C2,TAJB107K006RNJ,1,100uF,CASE-B_3528,100uF,Kyocera AVX,C16133,LCSC,
"C3, C5",CL05B104KO5NNNC,2,100nF,C0402,100nF,SAMSUNG(三星),C1525,LCSC,
"D1, D2, D3",LESD5D5.0CT1G,3,LESD5D5.0CT1G,SOD-523_L1.2-W0.8-LS1.6-BI,,LRC(乐山无线电),C383211,LCSC,
D4,1N5819HW-7-F,1,1N5819HW-7-F,SOD-123_L2.7-W1.6-LS3.7-RD,,DIODES(美台),C82544,LCSC,
LED,XL-1615RGBC-WS2812B,1,XL-1615RGBC-WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B-1,,XINGLIGHT(成兴光),C5349954,LCSC,
"R1, R2",0402WGF5101TCE,2,5.1kΩ,R0402,5.1kΩ,UNI-ROYAL(厚声),C25905,LCSC,
"R3, R5",0402WGF1002TCE,2,10kΩ,R0402,10kΩ,UNI-ROYAL(厚声),C25744,LCSC,
R4,0402WGF1000TCE,1,100Ω,R0402,100Ω,UNI-ROYAL(厚声),C25076,LCSC,
U1,ESP32-C6-MINI-1-N4,1,ESP32-C6-MINI-1-N4,WIFIM-SMD_61P-L16.6-W13.2-P0.80-ESP32-C6-MINI-1-N4,,ESPRESSIF(乐鑫),C5736265,LCSC,
U2,AMS1117-3.3,1,AMS1117-3.3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,,AMS,C6186,LCSC,
USB,TYPE-C-31-M-12,1,TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12,,韩国韩荣,C165948,LCSC,
X1,A254UP-ZD08P,1,A254UP-ZD08P,HDR-TH_8P-P2.54-WEMOS_L,,BXCONN(宝讯),C41413837,LCSC,
X2,A254UP-ZD08P,1,A254UP-ZD08P,HDR-TH_8P-P2.54-WEMOS_R,,BXCONN(宝讯),C41413837,LCSC,
